trade_id,source_type,symbol,timeframe,action,setup_type,session,market_regime,news_risk,spread_pips,atr_pips,rr_ratio,rule_confidence,tf_alignment,liquidity_sweep,fvg_present,order_block_present,candlestick_pattern,candlestick_bias,candlestick_strength,dxy_bias,source_knowledge,entry_time,exit_time,entry_price,stop_loss,take_profit_1,take_profit_2,exit_price,result,pnl_r,notes
SYNTHETIC_SMC_ICT_00143,synthetic_smc_ict,EURUSD,30m,BUY,order_block_retest,london,sideways,medium,1.33,7.67,3.33,66,0,1,1,1,three_black_crows,bearish,91,usd_bullish,smc_ict,2026-01-02 21:03:00,2026-01-03 01:03:00,1.08744,1.08689,1.08835,1.08927,1.08878,win,2.45,"Synthetic ML row: order_block_retest | three_black_crows | london | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00026,synthetic_backtest,BTCUSD,15m,BUY,liquidity_sweep,overlap,high_volatility,low,59.88,509.28,1.68,48,0,1,1,0,none,neutral,0,usd_bearish,backtest,2026-01-01 15:45:00,2026-01-01 16:30:00,65012.08,64331.87,65583.46,66154.84,65875.95,win,1.27,"Synthetic ML row: liquidity_sweep | none | overlap | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_SMC_ICT_00101,synthetic_smc_ict,BTCUSD,15m,BUY,order_block_retest,new_york,bullish,medium,55.8,560.88,1.29,63,1,0,0,1,outside_bar,neutral,57,neutral,smc_ict,2026-01-02 10:29:00,2026-01-02 10:59:00,66339.35,65732.85,66730.54,67121.73,67194.51,win,1.41,"Synthetic ML row: order_block_retest | outside_bar | new_york | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00075,synthetic_starter,GBPUSD,5m,SELL,breakout,london,bullish,low,1.17,9.0,3.73,63,1,0,1,1,three_black_crows,bearish,45,usd_bearish,booming_bulls_notes,2026-01-02 03:56:00,2026-01-02 06:56:00,1.29045,1.29165,1.28822,1.28598,1.28734,win,2.6,"Synthetic ML row: breakout | three_black_crows | london | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_SMC_ICT_00199,synthetic_smc_ict,GBPUSD,1h,BUY,fvg_retest,overlap,bearish,low,1.82,15.83,1.11,92,1,0,1,1,pin_bar_bullish,bullish,88,usd_bullish,smc_ict,2026-01-03 10:51:00,2026-01-03 12:51:00,1.26663,1.26456,1.26778,1.26893,1.2656,loss,-0.5,"Synthetic ML row: fvg_retest | pin_bar_bullish | overlap | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00037,synthetic_starter,XAUUSD,30m,SELL,trend_follow,new_york,sideways,low,3.38,32.39,2.87,64,1,1,1,1,hanging_man,bearish,57,usd_bearish,smc_ict,2026-01-01 18:20:00,2026-01-01 19:20:00,2298.13,2301.48,2293.34,2288.55,2293.96,win,1.25,"Synthetic ML row: trend_follow | hanging_man | new_york | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00139,synthetic_backtest,BTCUSD,5m,SELL,trend_follow,london,sideways,low,78.0,470.73,1.37,54,1,1,0,1,none,neutral,0,usd_bearish,backtest,2026-01-02 19:47:00,2026-01-02 21:47:00,63972.73,64392.98,63684.86,63396.99,64199.67,loss,-0.54,"Synthetic ML row: trend_follow | none | london | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00143,synthetic_starter,BTCUSD,15m,SELL,breakout,new_york,high_volatility,low,28.88,567.76,1.9,63,1,0,1,1,dark_cloud_cover,bearish,89,usd_bearish,backtest,2026-01-02 21:07:00,2026-01-02 23:07:00,65826.31,66591.88,65099.02,64371.72,64325.79,win,1.96,"Synthetic ML row: breakout | dark_cloud_cover | new_york | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_CANDLES_00223,synthetic_candles,USDJPY,5m,BUY,reversal,overlap,bullish,low,1.99,9.87,3.92,57,1,1,0,1,piercing_line,bullish,91,neutral,candlestick,2026-01-03 16:57:00,2026-01-03 17:42:00,155.292,155.208,155.457,155.623,155.228,loss,-0.76,"Synthetic ML row: reversal | piercing_line | overlap | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_SMC_ICT_00139,synthetic_smc_ict,EURUSD,5m,SELL,liquidity_sweep,london,bullish,low,0.78,13.63,2.33,58,0,1,0,0,inside_bar,neutral,42,usd_bullish,smc_ict,2026-01-02 19:49:00,2026-01-02 20:34:00,1.10851,1.10941,1.10747,1.10643,1.10813,win,0.43,"Synthetic ML row: liquidity_sweep | inside_bar | london | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00093,synthetic_backtest,EURUSD,30m,SELL,trend_follow,overlap,low_volatility,low,0.63,12.03,2.43,59,1,0,0,1,morning_star,bullish,89,usd_bearish,backtest,2026-01-02 08:37:00,2026-01-02 08:52:00,1.07888,1.08047,1.07696,1.07504,1.07572,win,2.0,"Synthetic ML row: trend_follow | morning_star | overlap | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00186,synthetic_backtest,EURUSD,1h,BUY,range_rejection,asia,high_volatility,medium,1.4,11.96,3.85,60,0,1,0,0,inside_bar,neutral,58,usd_bullish,backtest,2026-01-03 07:50:00,2026-01-03 08:05:00,1.0598,1.05874,1.06185,1.06389,1.05872,loss,-1.02,"Synthetic ML row: range_rejection | inside_bar | asia | medium news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00070,synthetic_backtest,USDJPY,15m,SELL,fvg_retest,london,bullish,low,1.4,11.37,2.06,63,1,1,1,0,inverted_hammer,bullish,62,usd_bearish,backtest,2026-01-02 02:57:00,2026-01-02 04:27:00,158.499,158.595,158.4,158.301,158.379,win,1.25,"Synthetic ML row: fvg_retest | inverted_hammer | london | low news | win. Use for testing pipeline, not as real edge."
