trade_id,source_type,symbol,timeframe,action,setup_type,session,market_regime,news_risk,spread_pips,atr_pips,rr_ratio,rule_confidence,tf_alignment,liquidity_sweep,fvg_present,order_block_present,candlestick_pattern,candlestick_bias,candlestick_strength,dxy_bias,source_knowledge,entry_time,exit_time,entry_price,stop_loss,take_profit_1,take_profit_2,exit_price,result,pnl_r,notes
SYNTHETIC_CANDLES_00001,synthetic_candles,BTCUSD,30m,BUY,support_resistance,new_york,bullish,low,62.78,986.61,3.52,63,1,0,0,0,dark_cloud_cover,bearish,75,neutral,candlestick,2026-01-01 09:15:00,2026-01-01 10:00:00,63530.62,62934.68,64579.46,65628.31,62964.48,loss,-0.95,"Synthetic ML row: support_resistance | dark_cloud_cover | new_york | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_CANDLES_00002,synthetic_candles,BTCUSD,5m,SELL,fvg_retest,london,high_volatility,medium,24.51,797.73,1.61,52,1,1,1,0,doji,neutral,77,usd_bullish,candlestick,2026-01-01 09:59:00,2026-01-01 13:59:00,65564.23,66089.55,65141.35,64718.47,65264.8,win,0.57,"Synthetic ML row: fvg_retest | doji | london | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_CANDLES_00003,synthetic_candles,XAUUSD,5m,SELL,fvg_retest,london,low_volatility,medium,2.45,20.17,2.77,64,0,1,1,1,morning_star,bullish,55,neutral,candlestick,2026-01-01 09:55:00,2026-01-01 10:55:00,2390.28,2392.64,2387.01,2383.74,2393.18,loss,-1.23,"Synthetic ML row: fvg_retest | morning_star | london | medium news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_CANDLES_00004,synthetic_candles,USDJPY,30m,SELL,support_resistance,asia,high_volatility,medium,0.71,10.49,3.44,79,1,0,0,1,three_black_crows,bearish,70,usd_bullish,candlestick,2026-01-01 10:28:00,2026-01-01 10:43:00,159.476,159.592,159.277,159.077,159.413,win,0.55,"Synthetic ML row: support_resistance | three_black_crows | asia | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_CANDLES_00005,synthetic_candles,BTCUSD,15m,SELL,support_resistance,overlap,bearish,medium,31.79,637.94,2.43,70,1,0,1,1,hanging_man,bearish,44,usd_bearish,candlestick,2026-01-01 10:19:00,2026-01-01 14:19:00,63670.97,64342.77,62854.72,62038.48,64188.26,loss,-0.77,"Synthetic ML row: support_resistance | hanging_man | overlap | medium news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_CANDLES_00006,synthetic_candles,BTCUSD,1h,BUY,trend_follow,overlap,sideways,low,36.57,643.16,2.25,47,1,0,0,1,hammer,bullish,58,usd_bullish,candlestick,2026-01-01 10:38:00,2026-01-01 11:23:00,64518.97,63938.32,65172.21,65825.44,63955.74,loss,-0.97,"Synthetic ML row: trend_follow | hammer | overlap | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_CANDLES_00007,synthetic_candles,BTCUSD,30m,BUY,fvg_retest,london,bearish,high,71.98,611.89,1.54,77,1,1,1,0,piercing_line,bullish,87,neutral,candlestick,2026-01-01 10:52:00,2026-01-01 13:52:00,66213.57,65493.87,66767.75,67321.92,68315.12,win,2.92,"Synthetic ML row: fvg_retest | piercing_line | london | high news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_CANDLES_00008,synthetic_candles,USDJPY,1h,SELL,liquidity_sweep,london,high_volatility,low,1.32,20.25,1.27,55,0,1,1,0,pin_bar_bullish,bullish,30,usd_bearish,candlestick,2026-01-01 11:18:00,2026-01-01 11:33:00,159.747,159.987,159.595,159.443,160.032,loss,-1.19,"Synthetic ML row: liquidity_sweep | pin_bar_bullish | london | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_CANDLES_00009,synthetic_candles,GBPUSD,15m,BUY,reversal,london,high_volatility,high,1.69,11.5,3.12,66,1,1,1,0,pin_bar_bullish,bullish,77,usd_bearish,candlestick,2026-01-01 11:42:00,2026-01-01 14:42:00,1.29998,1.29873,1.30192,1.30387,1.30053,win,0.44,"Synthetic ML row: reversal | pin_bar_bullish | london | high news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_CANDLES_00010,synthetic_candles,EURUSD,5m,SELL,breakout,overlap,sideways,low,1.38,10.61,2.15,47,1,0,0,1,tweezer_bottom,bullish,41,neutral,candlestick,2026-01-01 11:54:00,2026-01-01 14:54:00,1.07527,1.07659,1.07385,1.07243,1.07131,win,3.0,"Synthetic ML row: breakout | tweezer_bottom | overlap | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_CANDLES_00011,synthetic_candles,BTCUSD,1h,BUY,breakout,asia,bullish,low,51.3,273.72,0.82,86,1,0,1,1,inside_bar,neutral,94,usd_bullish,candlestick,2026-01-01 11:53:00,2026-01-01 14:53:00,65252.21,64953.99,65374.48,65496.75,66003.73,win,2.52,"Synthetic ML row: breakout | inside_bar | asia | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_CANDLES_00012,synthetic_candles,USDJPY,1h,BUY,support_resistance,new_york,bullish,medium,1.81,7.91,1.54,95,1,1,0,0,pin_bar_bearish,bearish,64,neutral,candlestick,2026-01-01 12:25:00,2026-01-01 12:40:00,153.02,152.912,153.104,153.188,152.893,loss,-1.17,"Synthetic ML row: support_resistance | pin_bar_bearish | new_york | medium news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_CANDLES_00013,synthetic_candles,XAUUSD,15m,BUY,order_block_retest,london,bullish,medium,4.45,24.58,2.47,90,0,0,0,1,pin_bar_bullish,bullish,72,neutral,candlestick,2026-01-01 12:36:00,2026-01-01 14:06:00,2306.96,2303.94,2310.68,2314.41,2308.29,win,0.44,"Synthetic ML row: order_block_retest | pin_bar_bullish | london | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_CANDLES_00014,synthetic_candles,BTCUSD,15m,BUY,reversal,new_york,sideways,low,47.21,923.77,1.02,50,1,0,0,1,hammer,bullish,60,neutral,candlestick,2026-01-01 13:00:00,2026-01-01 14:30:00,63932.55,62666.58,64578.2,65223.85,66426.53,win,1.97,"Synthetic ML row: reversal | hammer | new_york | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_CANDLES_00015,synthetic_candles,USDJPY,5m,SELL,breakout,london,bullish,low,1.35,18.69,1.6,73,0,0,0,0,tweezer_top,bearish,62,usd_bearish,candlestick,2026-01-01 13:13:00,2026-01-01 13:28:00,156.031,156.182,155.91,155.79,156.209,loss,-1.18,"Synthetic ML row: breakout | tweezer_top | london | low news | loss. Use for testing pipeline, not as real edge."
