trade_id,source_type,symbol,timeframe,action,setup_type,session,market_regime,news_risk,spread_pips,atr_pips,rr_ratio,rule_confidence,tf_alignment,liquidity_sweep,fvg_present,order_block_present,candlestick_pattern,candlestick_bias,candlestick_strength,dxy_bias,source_knowledge,entry_time,exit_time,entry_price,stop_loss,take_profit_1,take_profit_2,exit_price,result,pnl_r,notes
SYNTHETIC_STARTER_00001,synthetic_starter,XAUUSD,30m,BUY,breakout,london,bullish,low,2.1,25.55,2.54,59,0,0,0,0,marubozu_bearish,bearish,29,usd_bearish,mt5_history,2026-01-01 09:23:00,2026-01-01 10:08:00,2309.86,2306.77,2313.79,2317.72,2317.53,win,2.48,"Synthetic ML row: breakout | marubozu_bearish | london | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00002,synthetic_starter,XAUUSD,1h,BUY,liquidity_sweep,asia,sideways,medium,3.16,30.39,2.78,68,1,1,1,0,none,neutral,0,neutral,blue_journal,2026-01-01 09:39:00,2026-01-01 10:09:00,2400.1,2396.17,2405.56,2411.03,2409.73,win,2.45,"Synthetic ML row: liquidity_sweep | none | asia | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00003,synthetic_starter,USDJPY,1h,SELL,trend_follow,new_york,bearish,low,1.13,21.83,2.85,80,1,0,1,0,harami_bullish,bullish,34,usd_bullish,booming_bulls_notes,2026-01-01 09:57:00,2026-01-01 11:27:00,152.134,152.425,151.72,151.307,151.972,win,0.56,"Synthetic ML row: trend_follow | harami_bullish | new_york | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00004,synthetic_starter,BTCUSD,15m,SELL,support_resistance,new_york,high_volatility,low,73.05,569.37,1.5,53,0,1,0,1,morning_star,bullish,42,neutral,booming_bulls_notes,2026-01-01 10:05:00,2026-01-01 13:05:00,65376.0,65892.88,64988.33,64600.67,65649.94,loss,-0.53,"Synthetic ML row: support_resistance | morning_star | new_york | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00005,synthetic_starter,BTCUSD,30m,SELL,breakout,overlap,bullish,high,71.56,426.56,2.4,56,0,0,0,1,harami_bullish,bullish,68,neutral,booming_bulls_notes,2026-01-01 10:26:00,2026-01-01 11:11:00,65153.58,65675.22,64527.61,63901.64,64141.6,win,1.94,"Synthetic ML row: breakout | harami_bullish | overlap | high news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00006,synthetic_starter,BTCUSD,30m,BUY,order_block_retest,london,bearish,low,45.05,222.67,3.23,94,1,1,0,1,pin_bar_bullish,bullish,55,usd_bullish,none,2026-01-01 10:46:00,2026-01-01 13:46:00,66811.02,66511.94,67294.02,67777.03,67388.23,win,1.93,"Synthetic ML row: order_block_retest | pin_bar_bullish | london | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00007,synthetic_starter,EURUSD,1h,SELL,support_resistance,overlap,bearish,medium,0.51,14.2,0.99,49,0,0,1,1,shooting_star,bearish,53,usd_bullish,smc_ict,2026-01-01 11:08:00,2026-01-01 15:08:00,1.06827,1.06966,1.06758,1.06689,1.06687,win,1.01,"Synthetic ML row: support_resistance | shooting_star | overlap | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00008,synthetic_starter,USDJPY,5m,BUY,support_resistance,asia,bearish,low,1.08,19.79,1.6,57,1,1,0,0,none,neutral,0,neutral,none,2026-01-01 11:27:00,2026-01-01 11:57:00,155.667,155.412,155.871,156.075,155.971,win,1.19,"Synthetic ML row: support_resistance | none | asia | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00009,synthetic_starter,BTCUSD,5m,BUY,breakout,new_york,bullish,low,37.77,1184.57,1.65,95,1,0,0,0,pin_bar_bullish,bullish,77,usd_bearish,candlestick,2026-01-01 11:19:00,2026-01-01 12:19:00,64207.16,62578.42,65550.88,66894.59,68344.17,win,2.54,"Synthetic ML row: breakout | pin_bar_bullish | new_york | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00010,synthetic_starter,BTCUSD,30m,BUY,reversal,asia,bearish,medium,76.03,748.16,2.65,47,0,0,1,0,bearish_engulfing,bearish,48,neutral,price_action,2026-01-01 11:59:00,2026-01-01 13:29:00,63846.61,62969.05,65009.37,66172.14,65601.72,win,2.0,"Synthetic ML row: reversal | bearish_engulfing | asia | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00011,synthetic_starter,EURUSD,1h,SELL,breakout,asia,bearish,medium,1.65,16.43,1.98,55,0,0,0,1,bullish_engulfing,bullish,37,usd_bearish,blue_journal,2026-01-01 12:02:00,2026-01-01 13:32:00,1.11311,1.11423,1.112,1.11089,1.11365,loss,-0.48,"Synthetic ML row: breakout | bullish_engulfing | asia | medium news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00012,synthetic_starter,EURUSD,5m,SELL,order_block_retest,overlap,bullish,medium,1.14,16.77,3.51,50,0,1,0,1,inverted_hammer,bullish,68,neutral,smc_ict,2026-01-01 12:04:00,2026-01-01 13:34:00,1.06297,1.06457,1.06016,1.05736,1.0638,loss,-0.52,"Synthetic ML row: order_block_retest | inverted_hammer | overlap | medium news | loss. Use for testing pipeline, not as real edge."
