trade_id,source_type,symbol,timeframe,action,setup_type,session,market_regime,news_risk,spread_pips,atr_pips,rr_ratio,rule_confidence,tf_alignment,liquidity_sweep,fvg_present,order_block_present,candlestick_pattern,candlestick_bias,candlestick_strength,dxy_bias,source_knowledge,entry_time,exit_time,entry_price,stop_loss,take_profit_1,take_profit_2,exit_price,result,pnl_r,notes
SYNTHETIC_MT5_HISTORY_00001,synthetic_mt5_history,XAUUSD,5m,BUY,support_resistance,london,bearish,medium,2.62,9.39,1.12,89,1,0,0,0,tweezer_bottom,bullish,80,neutral,mt5_history,2026-01-01 09:17:00,2026-01-01 10:47:00,2311.77,2310.84,2312.28,2312.8,2312.8,win,1.12,"Synthetic ML row: support_resistance | tweezer_bottom | london | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00002,synthetic_mt5_history,USDJPY,5m,BUY,breakout,overlap,sideways,low,1.19,8.06,3.24,48,0,1,0,0,marubozu_bullish,bullish,83,usd_bearish,mt5_history,2026-01-01 09:43:00,2026-01-01 10:43:00,153.804,153.704,153.967,154.13,153.75,loss,-0.54,"Synthetic ML row: breakout | marubozu_bullish | overlap | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00003,synthetic_mt5_history,XAUUSD,30m,SELL,liquidity_sweep,asia,bullish,medium,4.12,34.37,3.01,66,0,1,0,0,bearish_engulfing,bearish,48,neutral,mt5_history,2026-01-01 10:10:00,2026-01-01 10:55:00,2283.35,2286.54,2278.55,2273.76,2285.07,loss,-0.54,"Synthetic ML row: liquidity_sweep | bearish_engulfing | asia | medium news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00004,synthetic_mt5_history,XAUUSD,30m,BUY,reversal,asia,sideways,low,3.72,11.8,1.23,53,1,0,1,0,bullish_engulfing,bullish,37,usd_bearish,mt5_history,2026-01-01 10:18:00,2026-01-01 11:03:00,2305.47,2304.35,2306.16,2306.84,2306.66,win,1.07,"Synthetic ML row: reversal | bullish_engulfing | asia | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00005,synthetic_mt5_history,GBPUSD,15m,SELL,liquidity_sweep,new_york,sideways,low,1.04,8.72,1.53,56,1,1,0,0,hammer,bullish,39,usd_bearish,mt5_history,2026-01-01 10:34:00,2026-01-01 12:04:00,1.26242,1.26354,1.26156,1.2607,1.26335,loss,-0.83,"Synthetic ML row: liquidity_sweep | hammer | new_york | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00006,synthetic_mt5_history,GBPUSD,15m,SELL,order_block_retest,london,bearish,low,1.47,14.3,1.66,92,1,0,0,1,inverted_hammer,bullish,81,usd_bullish,mt5_history,2026-01-01 10:54:00,2026-01-01 14:54:00,1.28545,1.28685,1.28429,1.28313,1.28384,win,1.15,"Synthetic ML row: order_block_retest | inverted_hammer | london | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00007,synthetic_mt5_history,EURUSD,30m,SELL,range_rejection,asia,bullish,low,1.56,12.32,1.01,76,1,1,1,0,hammer,bullish,67,usd_bearish,mt5_history,2026-01-01 10:58:00,2026-01-01 13:58:00,1.07199,1.07299,1.07148,1.07098,1.07147,win,0.52,"Synthetic ML row: range_rejection | hammer | asia | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00008,synthetic_mt5_history,GBPUSD,15m,BUY,order_block_retest,london,bearish,medium,1.7,12.75,2.6,89,1,0,1,1,three_black_crows,bearish,59,neutral,mt5_history,2026-01-01 11:24:00,2026-01-01 13:24:00,1.29397,1.29305,1.29517,1.29636,1.29676,win,3.03,"Synthetic ML row: order_block_retest | three_black_crows | london | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00009,synthetic_mt5_history,EURUSD,1h,SELL,support_resistance,overlap,bullish,low,0.76,13.13,3.78,65,1,1,1,0,hammer,bullish,45,usd_bearish,mt5_history,2026-01-01 11:36:00,2026-01-01 11:51:00,1.07933,1.08023,1.07764,1.07595,1.07711,win,2.49,"Synthetic ML row: support_resistance | hammer | overlap | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00010,synthetic_mt5_history,BTCUSD,30m,BUY,breakout,new_york,bullish,medium,38.77,970.69,2.9,89,1,0,1,0,three_white_soldiers,bullish,37,usd_bearish,mt5_history,2026-01-01 11:45:00,2026-01-01 12:30:00,64530.2,63581.62,65905.65,67281.09,66009.99,win,1.56,"Synthetic ML row: breakout | three_white_soldiers | new_york | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00011,synthetic_mt5_history,EURUSD,5m,BUY,liquidity_sweep,london,high_volatility,medium,0.67,6.59,1.71,95,1,1,0,0,marubozu_bullish,bullish,42,usd_bullish,mt5_history,2026-01-01 12:11:00,2026-01-01 12:56:00,1.10119,1.10027,1.10197,1.10276,1.10232,win,1.23,"Synthetic ML row: liquidity_sweep | marubozu_bullish | london | medium news | win. Use for testing pipeline, not as real edge."
