trade_id,source_type,symbol,timeframe,action,setup_type,session,market_regime,news_risk,spread_pips,atr_pips,rr_ratio,rule_confidence,tf_alignment,liquidity_sweep,fvg_present,order_block_present,candlestick_pattern,candlestick_bias,candlestick_strength,dxy_bias,source_knowledge,entry_time,exit_time,entry_price,stop_loss,take_profit_1,take_profit_2,exit_price,result,pnl_r,notes
SYNTHETIC_SMC_ICT_00001,synthetic_smc_ict,USDJPY,30m,BUY,order_block_retest,london,high_volatility,medium,1.79,18.83,2.2,85,1,0,1,1,doji,neutral,85,usd_bearish,smc_ict,2026-01-01 09:22:00,2026-01-01 09:37:00,157.151,156.988,157.33,157.509,157.22,win,0.42,"Synthetic ML row: order_block_retest | doji | london | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_SMC_ICT_00002,synthetic_smc_ict,EURUSD,30m,SELL,fvg_retest,london,high_volatility,low,1.15,10.19,0.98,89,1,1,1,1,hammer,bullish,93,usd_bullish,smc_ict,2026-01-01 09:31:00,2026-01-01 11:31:00,1.07988,1.08066,1.0795,1.07912,1.07893,win,1.23,"Synthetic ML row: fvg_retest | hammer | london | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_SMC_ICT_00003,synthetic_smc_ict,XAUUSD,15m,BUY,order_block_retest,new_york,high_volatility,medium,4.01,29.8,1.91,49,1,1,1,1,tweezer_bottom,bullish,34,usd_bearish,smc_ict,2026-01-01 09:46:00,2026-01-01 10:16:00,2284.52,2281.52,2287.38,2290.25,2287.37,win,0.95,"Synthetic ML row: order_block_retest | tweezer_bottom | new_york | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_SMC_ICT_00004,synthetic_smc_ict,GBPUSD,1h,SELL,liquidity_sweep,london,low_volatility,medium,1.81,16.39,0.97,94,1,1,1,1,bullish_engulfing,bullish,50,usd_bearish,smc_ict,2026-01-01 10:03:00,2026-01-01 14:03:00,1.24578,1.24757,1.24491,1.24404,1.24793,loss,-1.2,"Synthetic ML row: liquidity_sweep | bullish_engulfing | london | medium news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_SMC_ICT_00005,synthetic_smc_ict,GBPUSD,15m,SELL,liquidity_sweep,london,bullish,high,1.55,23.85,0.85,91,1,1,1,1,pin_bar_bullish,bullish,77,usd_bullish,smc_ict,2026-01-01 10:34:00,2026-01-01 11:34:00,1.3131,1.31478,1.31239,1.31168,1.31233,win,0.46,"Synthetic ML row: liquidity_sweep | pin_bar_bullish | london | high news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_SMC_ICT_00006,synthetic_smc_ict,USDJPY,5m,SELL,range_rejection,new_york,low_volatility,low,1.11,14.82,3.58,60,1,1,0,0,harami_bearish,bearish,70,neutral,smc_ict,2026-01-01 10:31:00,2026-01-01 12:31:00,159.953,160.125,159.644,159.335,159.608,win,2.0,"Synthetic ML row: range_rejection | harami_bearish | new_york | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_SMC_ICT_00007,synthetic_smc_ict,BTCUSD,30m,SELL,fvg_retest,asia,high_volatility,high,65.58,187.66,1.55,73,1,0,1,1,none,neutral,0,neutral,smc_ict,2026-01-01 10:57:00,2026-01-01 12:27:00,66276.0,66472.74,66123.52,65971.05,66047.78,win,1.16,"Synthetic ML row: fvg_retest | none | asia | high news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_SMC_ICT_00008,synthetic_smc_ict,GBPUSD,1h,SELL,order_block_retest,asia,bearish,low,0.75,19.97,3.8,83,1,0,1,1,dark_cloud_cover,bearish,48,usd_bearish,smc_ict,2026-01-01 11:10:00,2026-01-01 14:10:00,1.30298,1.30543,1.29833,1.29367,1.30486,loss,-0.77,"Synthetic ML row: order_block_retest | dark_cloud_cover | asia | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_SMC_ICT_00009,synthetic_smc_ict,XAUUSD,1h,BUY,range_rejection,overlap,bearish,high,2.21,32.51,1.7,88,0,1,0,1,marubozu_bearish,bearish,91,usd_bearish,smc_ict,2026-01-01 11:23:00,2026-01-01 13:23:00,2317.39,2314.79,2319.61,2321.82,2314.14,loss,-1.25,"Synthetic ML row: range_rejection | marubozu_bearish | overlap | high news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_SMC_ICT_00010,synthetic_smc_ict,BTCUSD,5m,BUY,range_rejection,london,high_volatility,medium,69.41,378.73,0.99,50,1,0,1,0,three_black_crows,bearish,27,usd_bearish,smc_ict,2026-01-01 11:38:00,2026-01-01 13:08:00,64062.21,63685.02,64248.92,64435.63,63869.84,loss,-0.51,"Synthetic ML row: range_rejection | three_black_crows | london | medium news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_SMC_ICT_00011,synthetic_smc_ict,EURUSD,15m,BUY,order_block_retest,overlap,bullish,medium,1.43,5.79,3.09,61,1,1,0,1,harami_bullish,bullish,89,usd_bearish,smc_ict,2026-01-01 11:56:00,2026-01-01 12:26:00,1.05749,1.05694,1.05835,1.0592,1.05778,win,0.52,"Synthetic ML row: order_block_retest | harami_bullish | overlap | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_SMC_ICT_00012,synthetic_smc_ict,BTCUSD,15m,BUY,liquidity_sweep,london,high_volatility,medium,65.6,501.74,2.11,86,1,1,0,0,hanging_man,bearish,79,usd_bearish,smc_ict,2026-01-01 12:11:00,2026-01-01 12:26:00,64184.4,63823.13,64565.55,64946.7,64874.44,win,1.91,"Synthetic ML row: liquidity_sweep | hanging_man | london | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_SMC_ICT_00013,synthetic_smc_ict,BTCUSD,5m,BUY,order_block_retest,new_york,bearish,medium,56.15,1152.94,3.87,59,1,0,1,1,dark_cloud_cover,bearish,29,neutral,smc_ict,2026-01-01 12:43:00,2026-01-01 12:58:00,65417.7,64117.92,67932.77,70447.83,68563.16,win,2.42,"Synthetic ML row: order_block_retest | dark_cloud_cover | new_york | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_SMC_ICT_00014,synthetic_smc_ict,BTCUSD,30m,SELL,fvg_retest,london,bearish,medium,59.13,617.26,3.86,71,0,0,1,1,pin_bar_bullish,bullish,71,usd_bearish,smc_ict,2026-01-01 12:50:00,2026-01-01 16:50:00,65410.35,66002.41,64267.68,63125.0,65066.96,win,0.58,"Synthetic ML row: fvg_retest | pin_bar_bullish | london | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_SMC_ICT_00015,synthetic_smc_ict,USDJPY,15m,BUY,fvg_retest,overlap,high_volatility,low,1.98,15.22,2.82,94,0,0,1,0,inside_bar,neutral,68,usd_bullish,smc_ict,2026-01-01 13:07:00,2026-01-01 17:07:00,158.476,158.369,158.626,158.777,158.609,win,1.25,"Synthetic ML row: fvg_retest | inside_bar | overlap | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_SMC_ICT_00016,synthetic_smc_ict,XAUUSD,5m,SELL,range_rejection,new_york,bullish,high,4.19,32.26,2.69,84,1,1,1,0,piercing_line,bullish,41,usd_bullish,smc_ict,2026-01-01 13:11:00,2026-01-01 17:11:00,2407.91,2411.47,2403.11,2398.32,2407.73,breakeven,0.05,"Synthetic ML row: range_rejection | piercing_line | new_york | high news | breakeven. Use for testing pipeline, not as real edge."
SYNTHETIC_SMC_ICT_00017,synthetic_smc_ict,USDJPY,1h,SELL,order_block_retest,new_york,sideways,medium,0.85,17.56,1.69,94,1,0,0,1,bullish_engulfing,bullish,72,usd_bullish,smc_ict,2026-01-01 13:42:00,2026-01-01 16:42:00,154.187,154.347,154.053,153.918,153.866,win,2.02,"Synthetic ML row: order_block_retest | bullish_engulfing | new_york | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_SMC_ICT_00018,synthetic_smc_ict,EURUSD,5m,BUY,range_rejection,new_york,low_volatility,medium,0.65,8.56,2.2,55,1,1,0,0,tweezer_top,bearish,60,usd_bearish,smc_ict,2026-01-01 13:51:00,2026-01-01 15:21:00,1.06163,1.06097,1.06235,1.06307,1.06133,loss,-0.46,"Synthetic ML row: range_rejection | tweezer_top | new_york | medium news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_SMC_ICT_00019,synthetic_smc_ict,BTCUSD,5m,BUY,liquidity_sweep,new_york,high_volatility,low,41.0,617.07,1.2,74,1,1,0,1,tweezer_bottom,bullish,28,usd_bearish,smc_ict,2026-01-01 13:47:00,2026-01-01 14:32:00,66923.0,66191.58,67361.85,67800.7,68020.13,win,1.5,"Synthetic ML row: liquidity_sweep | tweezer_bottom | new_york | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_SMC_ICT_00020,synthetic_smc_ict,XAUUSD,5m,SELL,fvg_retest,new_york,bullish,low,3.62,16.5,3.76,72,1,0,1,1,pin_bar_bearish,bearish,83,usd_bullish,smc_ict,2026-01-01 14:17:00,2026-01-01 14:32:00,2413.33,2415.15,2409.92,2406.5,2411.26,win,1.14,"Synthetic ML row: fvg_retest | pin_bar_bearish | new_york | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_SMC_ICT_00021,synthetic_smc_ict,EURUSD,1h,BUY,order_block_retest,overlap,bullish,low,1.64,17.36,3.54,92,1,0,0,1,tweezer_bottom,bullish,48,usd_bullish,smc_ict,2026-01-01 14:37:00,2026-01-01 16:07:00,1.09238,1.09046,1.09578,1.09917,1.09413,win,0.91,"Synthetic ML row: order_block_retest | tweezer_bottom | overlap | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_SMC_ICT_00022,synthetic_smc_ict,EURUSD,1h,SELL,fvg_retest,new_york,high_volatility,high,1.21,8.84,1.5,93,1,1,1,1,harami_bullish,bullish,87,usd_bearish,smc_ict,2026-01-01 14:33:00,2026-01-01 15:18:00,1.0827,1.08346,1.08214,1.08157,1.08193,win,1.03,"Synthetic ML row: fvg_retest | harami_bullish | new_york | high news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_SMC_ICT_00023,synthetic_smc_ict,XAUUSD,1h,SELL,range_rejection,new_york,bearish,medium,2.73,23.18,1.83,88,0,0,0,1,harami_bullish,bullish,55,usd_bearish,smc_ict,2026-01-01 15:08:00,2026-01-01 16:08:00,2327.42,2330.33,2324.76,2322.09,2328.93,loss,-0.52,"Synthetic ML row: range_rejection | harami_bullish | new_york | medium news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_SMC_ICT_00024,synthetic_smc_ict,GBPUSD,1h,SELL,fvg_retest,london,bearish,high,0.84,18.98,3.72,94,0,1,1,1,morning_star,bullish,94,neutral,smc_ict,2026-01-01 15:17:00,2026-01-01 16:17:00,1.31212,1.31453,1.30763,1.30315,1.31226,breakeven,-0.06,"Synthetic ML row: fvg_retest | morning_star | london | high news | breakeven. Use for testing pipeline, not as real edge."
SYNTHETIC_SMC_ICT_00025,synthetic_smc_ict,USDJPY,30m,BUY,order_block_retest,new_york,bearish,high,1.3,18.66,0.94,63,1,1,0,1,bullish_engulfing,bullish,29,usd_bearish,smc_ict,2026-01-01 15:41:00,2026-01-01 18:41:00,157.655,157.524,157.717,157.779,157.662,breakeven,0.05,"Synthetic ML row: order_block_retest | bullish_engulfing | new_york | high news | breakeven. Use for testing pipeline, not as real edge."
