trade_id,source_type,symbol,timeframe,action,setup_type,session,market_regime,news_risk,spread_pips,atr_pips,rr_ratio,rule_confidence,tf_alignment,liquidity_sweep,fvg_present,order_block_present,candlestick_pattern,candlestick_bias,candlestick_strength,dxy_bias,source_knowledge,entry_time,exit_time,entry_price,stop_loss,take_profit_1,take_profit_2,exit_price,result,pnl_r,notes
SYNTHETIC_BACKTEST_00001,synthetic_backtest,BTCUSD,30m,BUY,order_block_retest,overlap,bullish,low,38.24,317.8,3.79,82,1,0,0,1,morning_star,bullish,33,usd_bullish,backtest,2026-01-01 09:45:00,2026-01-01 10:45:00,64087.08,63794.67,64641.2,65195.31,64698.22,win,2.09,"Synthetic ML row: order_block_retest | morning_star | overlap | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00002,synthetic_backtest,BTCUSD,5m,BUY,support_resistance,overlap,bullish,low,16.31,464.89,1.49,52,1,1,0,1,morning_star,bullish,92,neutral,backtest,2026-01-01 09:54:00,2026-01-01 10:39:00,66944.46,66340.8,67394.19,67843.92,66455.49,loss,-0.81,"Synthetic ML row: support_resistance | morning_star | overlap | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00003,synthetic_backtest,USDJPY,15m,BUY,fvg_retest,london,high_volatility,medium,0.73,11.32,3.46,46,0,0,1,0,evening_star,bearish,56,usd_bullish,backtest,2026-01-01 09:48:00,2026-01-01 12:48:00,154.493,154.422,154.616,154.738,154.42,loss,-1.04,"Synthetic ML row: fvg_retest | evening_star | london | medium news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00004,synthetic_backtest,EURUSD,30m,SELL,breakout,asia,bearish,medium,1.41,12.73,2.63,79,1,1,0,0,tweezer_bottom,bullish,86,neutral,backtest,2026-01-01 10:12:00,2026-01-01 14:12:00,1.1067,1.10761,1.1055,1.1043,1.10451,win,2.4,"Synthetic ML row: breakout | tweezer_bottom | asia | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00005,synthetic_backtest,GBPUSD,1h,BUY,trend_follow,london,low_volatility,low,1.62,16.15,3.38,60,1,1,1,0,outside_bar,neutral,48,neutral,backtest,2026-01-01 10:24:00,2026-01-01 10:54:00,1.26179,1.26006,1.26471,1.26764,1.26521,win,1.98,"Synthetic ML row: trend_follow | outside_bar | london | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00006,synthetic_backtest,GBPUSD,5m,BUY,reversal,asia,sideways,low,0.77,8.93,2.32,72,1,0,1,1,bearish_engulfing,bearish,86,neutral,backtest,2026-01-01 10:54:00,2026-01-01 13:54:00,1.2526,1.25184,1.25348,1.25436,1.25412,win,2.01,"Synthetic ML row: reversal | bearish_engulfing | asia | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00007,synthetic_backtest,USDJPY,5m,BUY,liquidity_sweep,new_york,bearish,low,1.4,18.91,1.76,82,0,1,0,1,dark_cloud_cover,bearish,87,usd_bearish,backtest,2026-01-01 11:13:00,2026-01-01 14:13:00,155.557,155.381,155.711,155.865,156.074,win,2.95,"Synthetic ML row: liquidity_sweep | dark_cloud_cover | new_york | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00008,synthetic_backtest,GBPUSD,30m,SELL,fvg_retest,asia,low_volatility,medium,0.74,14.66,3.85,94,1,0,1,0,three_white_soldiers,bullish,71,usd_bearish,backtest,2026-01-01 11:07:00,2026-01-01 13:07:00,1.25649,1.25785,1.25389,1.25128,1.25718,loss,-0.51,"Synthetic ML row: fvg_retest | three_white_soldiers | asia | medium news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00009,synthetic_backtest,USDJPY,15m,BUY,breakout,new_york,bearish,low,1.9,12.81,3.54,52,1,0,1,0,dark_cloud_cover,bearish,67,usd_bullish,backtest,2026-01-01 11:30:00,2026-01-01 13:00:00,155.274,155.119,155.549,155.824,155.513,win,1.54,"Synthetic ML row: breakout | dark_cloud_cover | new_york | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00010,synthetic_backtest,BTCUSD,1h,BUY,breakout,asia,bearish,low,66.19,821.39,3.98,45,1,1,1,0,hammer,bullish,72,neutral,backtest,2026-01-01 11:45:00,2026-01-01 15:45:00,66917.38,66340.54,68065.31,69213.24,68128.76,win,2.1,"Synthetic ML row: breakout | hammer | asia | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00011,synthetic_backtest,XAUUSD,30m,BUY,order_block_retest,london,bullish,medium,1.99,29.92,1.04,91,1,0,0,1,three_black_crows,bearish,42,usd_bullish,backtest,2026-01-01 11:55:00,2026-01-01 12:55:00,2340.14,2336.68,2341.94,2343.74,2350.81,win,3.08,"Synthetic ML row: order_block_retest | three_black_crows | london | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00012,synthetic_backtest,USDJPY,1h,BUY,fvg_retest,new_york,sideways,high,1.57,9.72,1.84,61,0,0,1,1,pin_bar_bearish,bearish,90,usd_bearish,backtest,2026-01-01 12:21:00,2026-01-01 15:21:00,153.899,153.79,153.999,154.1,153.784,loss,-1.05,"Synthetic ML row: fvg_retest | pin_bar_bearish | new_york | high news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00013,synthetic_backtest,GBPUSD,30m,SELL,breakout,new_york,high_volatility,high,1.85,17.45,3.16,76,1,0,1,0,shooting_star,bearish,42,neutral,backtest,2026-01-01 12:22:00,2026-01-01 13:52:00,1.2861,1.28809,1.28295,1.2798,1.28843,loss,-1.17,"Synthetic ML row: breakout | shooting_star | new_york | high news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00014,synthetic_backtest,EURUSD,15m,SELL,range_rejection,asia,bearish,high,1.21,15.42,1.02,95,1,1,0,0,harami_bullish,bullish,46,usd_bearish,backtest,2026-01-01 12:50:00,2026-01-01 13:50:00,1.05461,1.05629,1.05376,1.0529,1.05632,loss,-1.02,"Synthetic ML row: range_rejection | harami_bullish | asia | high news | loss. Use for testing pipeline, not as real edge."
